epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,604.31,0.5325,0.54217,0.54448,0.93418,0,0.98338,0.96377,0.99084,0.88328,0.97514,0.95652,0.98562,0.90338,0.48106,0.51771,0.50295,0.85647,0,0.000775822,0.000775822,0.000775822
29,625.851,0.52002,0.50191,0.52838,0.92833,0,0.9911,0.98178,0.99252,0.89006,0.9911,0.98178,0.99252,0.92514,0.45635,0.36723,0.50564,0.84219,0,0.000742815,0.000742815,0.000742815
30,647.532,0.50508,0.49687,0.52179,0.91445,0,0.99646,0.98109,0.99331,0.90338,0.99646,0.98109,0.99331,0.92987,0.44757,0.38293,0.46215,0.85378,0,0.000709809,0.000709809,0.000709809
31,669.168,0.50136,0.49569,0.51154,0.92465,0,0.973,0.97934,0.9929,0.9186,0.973,0.97934,0.9929,0.92582,0.43222,0.35052,0.47613,0.83396,0,0.000676802,0.000676802,0.000676802
32,690.796,0.48985,0.4928,0.49417,0.91635,0,0.99591,0.99275,0.99359,0.91234,0.99591,0.99275,0.99359,0.93404,0.43324,0.36364,0.45251,0.82878,0,0.000643795,0.000643795,0.000643795
33,712.401,0.46433,0.47806,0.46463,0.90939,0,0.99752,0.99275,0.99254,0.90093,0.99752,0.99275,0.99254,0.93328,0.44259,0.36658,0.44385,0.84527,0,0.000610789,0.000610789,0.000610789
34,733.906,0.48474,0.4857,0.46768,0.91222,0,0.99413,0.98551,0.99174,0.90684,0.99413,0.98551,0.99174,0.93489,0.44622,0.34599,0.43612,0.83627,0,0.000577782,0.000577782,0.000577782
35,755.444,0.45786,0.48912,0.45948,0.91114,0,0.97973,0.99051,0.99301,0.9022,0.97973,0.99051,0.99301,0.93688,0.43139,0.33392,0.4118,0.8331,0,0.000544776,0.000544776,0.000544776
36,776.876,0.45756,0.43287,0.45586,0.90277,0,1,0.98796,0.99416,0.88521,1,0.98796,0.99416,0.93058,0.44895,0.33524,0.41636,0.83336,0,0.000511769,0.000511769,0.000511769
37,798.409,0.4671,0.44208,0.45648,0.90222,0,0.99675,0.99275,0.9946,0.89536,0.99675,0.99275,0.9946,0.94022,0.44419,0.32914,0.4053,0.84745,0,0.000478762,0.000478762,0.000478762
38,819.827,0.46029,0.45298,0.44685,0.89989,0,0.99334,0.96664,0.9939,0.90461,0.99334,0.96664,0.9939,0.93681,0.41587,0.33146,0.39517,0.81985,0,0.000445756,0.000445756,0.000445756
39,841.374,0.4592,0.45912,0.45773,0.90325,0,0.98167,0.96951,0.99291,0.92574,0.98167,0.96951,0.99291,0.93693,0.40209,0.32953,0.40136,0.82148,0,0.000412749,0.000412749,0.000412749
40,862.991,0.41494,0.4158,0.42064,0.8871,0,0.97551,0.97257,0.99385,0.91307,0.97551,0.97257,0.99385,0.93805,0.38194,0.31796,0.39342,0.80532,0,0.000379743,0.000379743,0.000379743
41,885.016,0.40189,0.3229,0.44404,0.88519,0,0.9854,0.97154,0.99264,0.93171,0.9854,0.97154,0.99264,0.94198,0.37844,0.31799,0.41061,0.79805,0,0.000346736,0.000346736,0.000346736
42,906.248,0.38467,0.29387,0.41476,0.86912,0,0.98247,0.99275,0.99385,0.92265,0.98247,0.99275,0.99385,0.94897,0.37164,0.31709,0.36639,0.79979,0,0.000313729,0.000313729,0.000313729
43,927.387,0.39193,0.31887,0.40267,0.86821,0,1,0.98664,0.99406,0.9232,1,0.98664,0.99406,0.94122,0.37166,0.32055,0.37211,0.79116,0,0.000280723,0.000280723,0.000280723
44,948.33,0.38147,0.29525,0.38794,0.8759,0,0.97737,0.98814,0.99338,0.92962,0.97737,0.98814,0.99338,0.94217,0.36841,0.31844,0.35554,0.78759,0,0.000247716,0.000247716,0.000247716
45,969.407,0.35693,0.29035,0.36919,0.85826,0,0.99619,0.97551,0.99333,0.93756,0.99619,0.97551,0.99333,0.94884,0.35396,0.31989,0.34727,0.77977,0,0.00021471,0.00021471,0.00021471
46,990.525,0.35813,0.28836,0.35462,0.84728,0,0.99367,0.99275,0.99375,0.94541,0.99367,0.99275,0.99375,0.94724,0.3518,0.31496,0.35228,0.78624,0,0.000181703,0.000181703,0.000181703
47,1011.65,0.35663,0.27392,0.36027,0.86835,0,0.9967,0.99275,0.99371,0.93702,0.9967,0.99275,0.99371,0.94678,0.34598,0.30844,0.34792,0.78737,0,0.000148696,0.000148696,0.000148696
48,1032.82,0.33034,0.28991,0.35045,0.86037,0,0.99765,0.99275,0.99375,0.94354,0.99765,0.99275,0.99375,0.94916,0.34455,0.30026,0.33706,0.78726,0,0.00011569,0.00011569,0.00011569
49,1053.99,0.32454,0.26399,0.34353,0.87225,0,0.99521,0.99224,0.99371,0.94339,0.99521,0.99224,0.99371,0.94974,0.33816,0.29795,0.33208,0.78221,0,8.26832e-05,8.26832e-05,8.26832e-05
50,1075.28,0.33984,0.27702,0.34489,0.85384,0,0.99556,0.99275,0.99352,0.93828,0.99556,0.99275,0.99352,0.95288,0.3302,0.29744,0.33092,0.77483,0,4.96766e-05,4.96766e-05,4.96766e-05
