metrica,media,desvio_padrao,ic95_inf,ic95_sup,t_critico
precision,0.9973472729566952,0.0015194383410852819,0.9836956610930481,1.0109988848203424,12.706204736174694
recall,0.9927536231884058,0.010247924365022395,0.9006796758248213,1.0848275705519903,12.706204736174694
f1,0.9950355159209581,0.005903917171206125,0.9419909246946637,1.0480801071472525,12.706204736174694
mAP50,0.9947260273972602,0.0003874557705132223,0.9912448754147463,0.9982071793797742,12.706204736174694
mAP50-95,0.9595577615943904,0.021517806021073293,0.7662279449023063,1.1528875782864745,12.706204736174694
