classe,precision,recall,f1,mAP50,mAP50-95
bed,0.9905806170489752,0.9855072463768116,0.9880374190743539,0.9924193548387096,0.9417256868893855
coal,1.0,0.999186515623818,0.9995930923048829,0.995,0.9479799631930067
